algoritmo,n,t,d,m,tiempo_us,memoria_kb
quicksort,10,ascendente,D7,c,6,2488
patiencesort,10,ascendente,D7,c,3,2488
stdsort,10,descendente,D1,a,7,2488
mergesort,10,descendente,D1,a,9,2488
quicksort,10,descendente,D1,a,0,2488
patiencesort,10,descendente,D1,a,2,2488
stdsort,10,descendente,D1,b,7,2488
mergesort,10,descendente,D1,b,1,2488
quicksort,10,descendente,D1,b,1,2488
patiencesort,10,descendente,D1,b,6,2488
stdsort,10,descendente,D1,c,42,2488
mergesort,10,descendente,D1,c,2,2488
quicksort,10,descendente,D1,c,3,2488
patiencesort,10,descendente,D1,c,3,2488
stdsort,10,descendente,D7,a,7,2488
mergesort,10,descendente,D7,a,4,2488
quicksort,10,descendente,D7,a,2,2488
patiencesort,10,descendente,D7,a,4,2488
stdsort,10,descendente,D7,b,5,2488
mergesort,10,descendente,D7,b,2,2488
quicksort,10,descendente,D7,b,5,2488
patiencesort,10,descendente,D7,b,10,2488
stdsort,10,descendente,D7,c,5,2488
mergesort,10,descendente,D7,c,1,2488
quicksort,10,descendente,D7,c,1,2488
patiencesort,10,descendente,D7,c,15,2488
stdsort,10000000,aleatorio,D1,a,425384,122516
mergesort,10000000,aleatorio,D1,a,1007437,161400
quicksort,10000000,aleatorio,D1,a,331159,180968
patiencesort,10000000,aleatorio,D1,a,409070,286880
stdsort,10000000,aleatorio,D1,b,331233,121364
mergesort,10000000,aleatorio,D1,b,974567,160204
quicksort,10000000,aleatorio,D1,b,323739,179768
patiencesort,10000000,aleatorio,D1,b,370059,283832
stdsort,10000000,aleatorio,D1,c,340086,121732
mergesort,10000000,aleatorio,D1,c,1029857,160572
quicksort,10000000,aleatorio,D1,c,353197,180136
patiencesort,10000000,aleatorio,D1,c,375812,284200
stdsort,10000000,aleatorio,D7,a,952764,123008
mergesort,10000000,aleatorio,D7,a,1736769,161852
quicksort,10000000,aleatorio,D7,a,1024026,181416
patiencesort,10000000,aleatorio,D7,a,2734456,298296
stdsort,10000000,aleatorio,D7,b,1002187,120652
mergesort,10000000,aleatorio,D7,b,1692177,159612
quicksort,10000000,aleatorio,D7,b,164301,179112
patiencesort,10000000,aleatorio,D7,b,2517323,295992
stdsort,10000000,aleatorio,D7,c,898916,122100
mergesort,10000000,aleatorio,D7,c,1715636,161192
quicksort,10000000,aleatorio,D7,c,1037174,180564
patiencesort,10000000,aleatorio,D7,c,2628864,297904
stdsort,10000000,ascendente,D1,a,165893,121332
mergesort,10000000,ascendente,D1,a,666830,160228
quicksort,10000000,ascendente,D1,a,181220,179796
patiencesort,10000000,ascendente,D1,a,214184,283068
stdsort,10000000,ascendente,D1,b,216838,121884
mergesort,10000000,ascendente,D1,b,689155,160972
quicksort,10000000,ascendente,D1,b,190592,180344
patiencesort,10000000,ascendente,D1,b,217661,282824
stdsort,10000000,ascendente,D1,c,203597,120984
mergesort,10000000,ascendente,D1,c,674792,159824
quicksort,10000000,ascendente,D1,c,213634,179388
patiencesort,10000000,ascendente,D1,c,207647,281868
stdsort,10000000,ascendente,D7,a,201946,122276
mergesort,10000000,ascendente,D7,a,593322,161372
quicksort,10000000,ascendente,D7,a,224523,180744
patiencesort,10000000,ascendente,D7,a,2439040,689636
stdsort,10000000,ascendente,D7,b,235249,121392
mergesort,10000000,ascendente,D7,b,746523,160288
quicksort,10000000,ascendente,D7,b,221385,179856
patiencesort,10000000,ascendente,D7,b,2757648,686176
stdsort,10000000,ascendente,D7,c,254297,122248
mergesort,10000000,ascendente,D7,c,688806,161208
quicksort,10000000,ascendente,D7,c,232817,180788
patiencesort,10000000,ascendente,D7,c,2152940,688176
stdsort,10000000,descendente,D1,a,166680,122136
mergesort,10000000,descendente,D1,a,739411,160976
quicksort,10000000,descendente,D1,a,178504,180540
patiencesort,10000000,descendente,D1,a,277387,312788
stdsort,10000000,descendente,D1,b,198223,121404
mergesort,10000000,descendente,D1,b,647615,160372
quicksort,10000000,descendente,D1,b,194967,179872
patiencesort,10000000,descendente,D1,b,255845,311300
stdsort,10000000,descendente,D1,c,210370,122352
mergesort,10000000,descendente,D1,c,708643,161304
quicksort,10000000,descendente,D1,c,259658,180872
patiencesort,10000000,descendente,D1,c,267756,311452
stdsort,10000000,descendente,D7,a,228162,120680
mergesort,10000000,descendente,D7,a,687532,159640
quicksort,10000000,descendente,D7,a,244163,179140
patiencesort,10000000,descendente,D7,a,265464,310020
stdsort,10000000,descendente,D7,b,210982,122556
mergesort,10000000,descendente,D7,b,741957,161432
quicksort,10000000,descendente,D7,b,244887,180960
patiencesort,10000000,descendente,D7,b,261761,313412
stdsort,10000000,descendente,D7,c,103352,122304
mergesort,10000000,descendente,D7,c,496810,161400
quicksort,10000000,descendente,D7,c,274680,180772
patiencesort,10000000,descendente,D7,c,268176,313092
stdsort,100000,aleatorio,D1,a,3210,4564
mergesort,100000,aleatorio,D1,a,9738,4896
quicksort,100000,aleatorio,D1,a,2499,4896
patiencesort,100000,aleatorio,D1,a,4316,6216
stdsort,100000,aleatorio,D1,b,2608,4564
mergesort,100000,aleatorio,D1,b,7354,4896
quicksort,100000,aleatorio,D1,b,3429,4896
patiencesort,100000,aleatorio,D1,b,4783,6216
stdsort,100000,aleatorio,D1,c,2955,4680
mergesort,100000,aleatorio,D1,c,8378,5016
quicksort,100000,aleatorio,D1,c,3018,5016
patiencesort,100000,aleatorio,D1,c,4423,6336
stdsort,100000,aleatorio,D7,a,5959,4576
mergesort,100000,aleatorio,D7,a,13435,4908
quicksort,100000,aleatorio,D7,a,8914,4908
patiencesort,100000,aleatorio,D7,a,20589,6228
stdsort,100000,aleatorio,D7,b,7492,4680
mergesort,100000,aleatorio,D7,b,10455,5024
quicksort,100000,aleatorio,D7,b,8054,5024
patiencesort,100000,aleatorio,D7,b,14879,6344
stdsort,100000,aleatorio,D7,c,6392,4652
mergesort,100000,aleatorio,D7,c,10925,4988
quicksort,100000,aleatorio,D7,c,7268,4988
patiencesort,100000,aleatorio,D7,c,18351,6308
stdsort,100000,ascendente,D1,a,679,4904
mergesort,100000,ascendente,D1,a,4442,5184
quicksort,100000,ascendente,D1,a,1071,5184
patiencesort,100000,ascendente,D1,a,4606,6504
stdsort,100000,ascendente,D1,b,713,4608
mergesort,100000,ascendente,D1,b,5817,4940
quicksort,100000,ascendente,D1,b,1002,4940
patiencesort,100000,ascendente,D1,b,2349,6260
stdsort,100000,ascendente,D1,c,783,4600
mergesort,100000,ascendente,D1,c,4253,4932
quicksort,100000,ascendente,D1,c,1174,4932
patiencesort,100000,ascendente,D1,c,2364,6252
stdsort,100000,ascendente,D7,a,1449,4724
mergesort,100000,ascendente,D7,a,4778,5060
quicksort,100000,ascendente,D7,a,919,5060
patiencesort,100000,ascendente,D7,a,29448,14012
stdsort,100000,ascendente,D7,b,2041,4648
mergesort,100000,ascendente,D7,b,8027,4984
quicksort,100000,ascendente,D7,b,1334,4984
patiencesort,100000,ascendente,D7,b,28633,14024
stdsort,100000,ascendente,D7,c,1692,4568
mergesort,100000,ascendente,D7,c,4911,4900
quicksort,100000,ascendente,D7,c,957,4900
patiencesort,100000,ascendente,D7,c,35368,13892
stdsort,100000,descendente,D1,a,1725,4796
mergesort,100000,descendente,D1,a,5514,5076
quicksort,100000,descendente,D1,a,1427,5076
patiencesort,100000,descendente,D1,a,3111,6396
stdsort,100000,descendente,D1,b,1207,4736
mergesort,100000,descendente,D1,b,4284,5072
quicksort,100000,descendente,D1,b,1703,5072
patiencesort,100000,descendente,D1,b,2253,6392
stdsort,100000,descendente,D1,c,1362,4784
mergesort,100000,descendente,D1,c,5597,5124
quicksort,100000,descendente,D1,c,1129,5124
patiencesort,100000,descendente,D1,c,1784,6444
stdsort,100000,descendente,D7,a,1368,4684
mergesort,100000,descendente,D7,a,5846,5024
quicksort,100000,descendente,D7,a,948,5024
patiencesort,100000,descendente,D7,a,4844,6344
stdsort,100000,descendente,D7,b,781,4552
mergesort,100000,descendente,D7,b,5905,4884
quicksort,100000,descendente,D7,b,728,4884
patiencesort,100000,descendente,D7,b,2781,6204
stdsort,100000,descendente,D7,c,1094,4696
mergesort,100000,descendente,D7,c,4390,5032
quicksort,100000,descendente,D7,c,1222,5032
patiencesort,100000,descendente,D7,c,2573,6352
stdsort,1000,aleatorio,D1,a,32,2492
mergesort,1000,aleatorio,D1,a,170,2492
quicksort,1000,aleatorio,D1,a,28,2492
patiencesort,1000,aleatorio,D1,a,56,2492
stdsort,1000,aleatorio,D1,b,26,2492
mergesort,1000,aleatorio,D1,b,112,2492
quicksort,1000,aleatorio,D1,b,33,2492
patiencesort,1000,aleatorio,D1,b,48,2492
stdsort,1000,aleatorio,D1,c,23,2492
mergesort,1000,aleatorio,D1,c,89,2492
quicksort,1000,aleatorio,D1,c,37,2492
patiencesort,1000,aleatorio,D1,c,49,2492
stdsort,1000,aleatorio,D7,a,44,2492
mergesort,1000,aleatorio,D7,a,199,2492
quicksort,1000,aleatorio,D7,a,64,2492
patiencesort,1000,aleatorio,D7,a,113,2492
stdsort,1000,aleatorio,D7,b,38,2492
mergesort,1000,aleatorio,D7,b,178,2492
quicksort,1000,aleatorio,D7,b,61,2492
patiencesort,1000,aleatorio,D7,b,105,2492
stdsort,1000,aleatorio,D7,c,35,2492
mergesort,1000,aleatorio,D7,c,142,2492
quicksort,1000,aleatorio,D7,c,52,2492
patiencesort,1000,aleatorio,D7,c,131,2492
stdsort,1000,ascendente,D1,a,8,2492
mergesort,1000,ascendente,D1,a,80,2492
quicksort,1000,ascendente,D1,a,13,2492
patiencesort,1000,ascendente,D1,a,115,2492
stdsort,1000,ascendente,D1,b,8,2492
mergesort,1000,ascendente,D1,b,99,2492
quicksort,1000,ascendente,D1,b,21,2492
patiencesort,1000,ascendente,D1,b,59,2492
stdsort,1000,ascendente,D1,c,6,2492
mergesort,1000,ascendente,D1,c,61,2492
quicksort,1000,ascendente,D1,c,13,2492
patiencesort,1000,ascendente,D1,c,43,2492
stdsort,1000,ascendente,D7,a,7,2492
mergesort,1000,ascendente,D7,a,105,2492
quicksort,1000,ascendente,D7,a,14,2492
patiencesort,1000,ascendente,D7,a,159,3732
stdsort,1000,ascendente,D7,b,5,2492
mergesort,1000,ascendente,D7,b,82,2492
quicksort,1000,ascendente,D7,b,14,2492
patiencesort,1000,ascendente,D7,b,164,2492
stdsort,1000,ascendente,D7,c,7,2492
mergesort,1000,ascendente,D7,c,67,2492
quicksort,1000,ascendente,D7,c,15,2492
patiencesort,1000,ascendente,D7,c,190,3748
stdsort,1000,descendente,D1,a,13,2492
mergesort,1000,descendente,D1,a,61,2492
quicksort,1000,descendente,D1,a,14,2492
patiencesort,1000,descendente,D1,a,40,2492
stdsort,1000,descendente,D1,b,12,2492
mergesort,1000,descendente,D1,b,64,2492
quicksort,1000,descendente,D1,b,16,2492
patiencesort,1000,descendente,D1,b,139,2492
stdsort,1000,descendente,D1,c,6,2492
mergesort,1000,descendente,D1,c,62,2492
quicksort,1000,descendente,D1,c,21,2492
patiencesort,1000,descendente,D1,c,80,2492
stdsort,1000,descendente,D7,a,7,2492
mergesort,1000,descendente,D7,a,85,2492
quicksort,1000,descendente,D7,a,13,2492
patiencesort,1000,descendente,D7,a,43,2492
stdsort,1000,descendente,D7,b,5,2492
mergesort,1000,descendente,D7,b,49,2492
quicksort,1000,descendente,D7,b,11,2492
patiencesort,1000,descendente,D7,b,73,2492
stdsort,1000,descendente,D7,c,7,2492
mergesort,1000,descendente,D7,c,49,2492
quicksort,1000,descendente,D7,c,10,2492
patiencesort,1000,descendente,D7,c,62,2492
stdsort,10,aleatorio,D1,a,1,2492
mergesort,10,aleatorio,D1,a,36,2492
quicksort,10,aleatorio,D1,a,1,2492
patiencesort,10,aleatorio,D1,a,6,2492
stdsort,10,aleatorio,D1,b,3,2492
mergesort,10,aleatorio,D1,b,57,2492
quicksort,10,aleatorio,D1,b,0,2492
patiencesort,10,aleatorio,D1,b,15,2492
stdsort,10,aleatorio,D1,c,13,2492
mergesort,10,aleatorio,D1,c,23,2492
quicksort,10,aleatorio,D1,c,3,2492
patiencesort,10,aleatorio,D1,c,18,2492
stdsort,10,aleatorio,D7,a,1,2492
mergesort,10,aleatorio,D7,a,25,2492
quicksort,10,aleatorio,D7,a,3,2492
patiencesort,10,aleatorio,D7,a,16,2492
stdsort,10,aleatorio,D7,b,6,2492
mergesort,10,aleatorio,D7,b,11,2492
quicksort,10,aleatorio,D7,b,1,2492
patiencesort,10,aleatorio,D7,b,12,2492
stdsort,10,aleatorio,D7,c,8,2492
mergesort,10,aleatorio,D7,c,19,2492
quicksort,10,aleatorio,D7,c,2,2492
patiencesort,10,aleatorio,D7,c,25,2492
stdsort,10,ascendente,D1,a,2,2492
mergesort,10,ascendente,D1,a,19,2492
quicksort,10,ascendente,D1,a,2,2492
patiencesort,10,ascendente,D1,a,6,2492
stdsort,10,ascendente,D1,b,0,2492
mergesort,10,ascendente,D1,b,85,2492
quicksort,10,ascendente,D1,b,0,2492
patiencesort,10,ascendente,D1,b,8,2492
stdsort,10,ascendente,D1,c,1,2492
mergesort,10,ascendente,D1,c,10,2492
quicksort,10,ascendente,D1,c,1,2492
patiencesort,10,ascendente,D1,c,20,2492
stdsort,10,ascendente,D7,a,6,2492
mergesort,10,ascendente,D7,a,11,2492
quicksort,10,ascendente,D7,a,0,2492
patiencesort,10,ascendente,D7,a,20,2492
stdsort,10,ascendente,D7,b,3,2492
mergesort,10,ascendente,D7,b,14,2492
quicksort,10,ascendente,D7,b,0,2492
patiencesort,10,ascendente,D7,b,18,2492
stdsort,10,ascendente,D7,c,12,2492
mergesort,10,ascendente,D7,c,25,2492
quicksort,10,ascendente,D7,c,1,2492
patiencesort,10,ascendente,D7,c,17,2492
stdsort,10,descendente,D1,a,3,2492
mergesort,10,descendente,D1,a,22,2492
quicksort,10,descendente,D1,a,0,2492
patiencesort,10,descendente,D1,a,10,2492
stdsort,10,descendente,D1,b,1,2492
mergesort,10,descendente,D1,b,99,2492
quicksort,10,descendente,D1,b,0,2492
patiencesort,10,descendente,D1,b,20,2492
stdsort,10,descendente,D1,c,2,2492
mergesort,10,descendente,D1,c,65,2492
quicksort,10,descendente,D1,c,0,2492
patiencesort,10,descendente,D1,c,5,2492
stdsort,10,descendente,D7,a,11,2492
mergesort,10,descendente,D7,a,16,2492
quicksort,10,descendente,D7,a,0,2492
patiencesort,10,descendente,D7,a,19,2492
stdsort,10,descendente,D7,b,10,2492
mergesort,10,descendente,D7,b,61,2492
quicksort,10,descendente,D7,b,3,2492
patiencesort,10,descendente,D7,b,3,2492
stdsort,10,descendente,D7,c,1,2492
mergesort,10,descendente,D7,c,67,2492
quicksort,10,descendente,D7,c,1,2492
patiencesort,10,descendente,D7,c,2,2492
stdsort,10000000,aleatorio,D1,a,375973,122684
mergesort,10000000,aleatorio,D1,a,1431074,161664
quicksort,10000000,aleatorio,D1,a,473704,181156
patiencesort,10000000,aleatorio,D1,a,517819,287068
stdsort,10000000,aleatorio,D1,b,403211,122636
mergesort,10000000,aleatorio,D1,b,1603448,161604
quicksort,10000000,aleatorio,D1,b,496196,181096
patiencesort,10000000,aleatorio,D1,b,579647,285160
stdsort,10000000,aleatorio,D1,c,389522,121288
mergesort,10000000,aleatorio,D1,c,1469049,160140
quicksort,10000000,aleatorio,D1,c,437261,179696
patiencesort,10000000,aleatorio,D1,c,603878,284868
stdsort,10000000,aleatorio,D7,a,1549143,122648
mergesort,10000000,aleatorio,D7,a,2678780,161556
quicksort,10000000,aleatorio,D7,a,1739710,181116
patiencesort,10000000,aleatorio,D7,a,2758928,297996
stdsort,10000000,aleatorio,D7,b,1298864,120784
mergesort,10000000,aleatorio,D7,b,2322309,159952
quicksort,10000000,aleatorio,D7,b,1525290,179372
patiencesort,10000000,aleatorio,D7,b,2518388,295988
stdsort,10000000,aleatorio,D7,c,1361635,121048
mergesort,10000000,aleatorio,D7,c,2795662,160020
quicksort,10000000,aleatorio,D7,c,1763594,179512
patiencesort,10000000,aleatorio,D7,c,2832996,296920
stdsort,10000000,ascendente,D1,a,133742,121132
mergesort,10000000,ascendente,D1,a,913194,159968
quicksort,10000000,ascendente,D1,a,273078,179596
patiencesort,10000000,ascendente,D1,a,295271,282076
stdsort,10000000,ascendente,D1,b,130142,122076
mergesort,10000000,ascendente,D1,b,848977,160928
quicksort,10000000,ascendente,D1,b,258349,180484
patiencesort,10000000,ascendente,D1,b,263170,282964
stdsort,10000000,ascendente,D1,c,136487,120976
mergesort,10000000,ascendente,D1,c,812442,159948
quicksort,10000000,ascendente,D1,c,250073,179440
patiencesort,10000000,ascendente,D1,c,270500,282184
stdsort,10000000,ascendente,D7,a,177675,121544
mergesort,10000000,ascendente,D7,a,858847,160452
quicksort,10000000,ascendente,D7,a,296633,180012
patiencesort,10000000,ascendente,D7,a,2556133,686640
stdsort,10000000,ascendente,D7,b,186068,121632
mergesort,10000000,ascendente,D7,b,835873,160476
quicksort,10000000,ascendente,D7,b,298833,180104
patiencesort,10000000,ascendente,D7,b,2678875,686760
stdsort,10000000,ascendente,D7,c,195188,122604
mergesort,10000000,ascendente,D7,c,784745,161768
quicksort,10000000,ascendente,D7,c,312734,181156
patiencesort,10000000,ascendente,D7,c,2455926,687032
stdsort,10000000,descendente,D1,a,127238,122024
mergesort,10000000,descendente,D1,a,931300,160928
quicksort,10000000,descendente,D1,a,272833,180488
patiencesort,10000000,descendente,D1,a,278885,312764
stdsort,10000000,descendente,D1,b,136774,122848
mergesort,10000000,descendente,D1,b,1074261,161760
quicksort,10000000,descendente,D1,b,245548,181320
patiencesort,10000000,descendente,D1,b,266541,312188
stdsort,10000000,descendente,D1,c,160086,121412
mergesort,10000000,descendente,D1,c,955579,160332
quicksort,10000000,descendente,D1,c,303925,179820
patiencesort,10000000,descendente,D1,c,311515,311124
stdsort,10000000,descendente,D7,a,181081,120876
mergesort,10000000,descendente,D7,a,973442,159716
quicksort,10000000,descendente,D7,a,278211,179344
patiencesort,10000000,descendente,D7,a,262536,310256
stdsort,10000000,descendente,D7,b,201154,121760
mergesort,10000000,descendente,D7,b,969714,160796
quicksort,10000000,descendente,D7,b,306215,180228
patiencesort,10000000,descendente,D7,b,256903,312060
stdsort,10000000,descendente,D7,c,185232,121052
mergesort,10000000,descendente,D7,c,930363,160028
quicksort,10000000,descendente,D7,c,272917,179520
patiencesort,10000000,descendente,D7,c,253973,310708
stdsort,100000,aleatorio,D1,a,3874,4752
mergesort,100000,aleatorio,D1,a,13959,5100
quicksort,100000,aleatorio,D1,a,4544,5100
patiencesort,100000,aleatorio,D1,a,7816,6420
stdsort,100000,aleatorio,D1,b,3469,4608
mergesort,100000,aleatorio,D1,b,14433,4952
quicksort,100000,aleatorio,D1,b,4431,4952
patiencesort,100000,aleatorio,D1,b,4932,6272
stdsort,100000,aleatorio,D1,c,4128,4596
mergesort,100000,aleatorio,D1,c,14424,4944
quicksort,100000,aleatorio,D1,c,4524,4944
patiencesort,100000,aleatorio,D1,c,6102,6264
stdsort,100000,aleatorio,D7,a,10775,4660
mergesort,100000,aleatorio,D7,a,26187,5004
quicksort,100000,aleatorio,D7,a,17044,5004
patiencesort,100000,aleatorio,D7,a,22574,6324
stdsort,100000,aleatorio,D7,b,8893,4652
mergesort,100000,aleatorio,D7,b,22186,4996
quicksort,100000,aleatorio,D7,b,18192,4996
patiencesort,100000,aleatorio,D7,b,28108,6316
stdsort,100000,aleatorio,D7,c,10885,4640
mergesort,100000,aleatorio,D7,c,28215,4984
quicksort,100000,aleatorio,D7,c,23024,4984
patiencesort,100000,aleatorio,D7,c,32796,6304
stdsort,100000,ascendente,D1,a,2390,4624
mergesort,100000,ascendente,D1,a,12936,4968
quicksort,100000,ascendente,D1,a,2338,4968
patiencesort,100000,ascendente,D1,a,10341,6288
stdsort,100000,ascendente,D1,b,1678,4752
mergesort,100000,ascendente,D1,b,12030,5100
quicksort,100000,ascendente,D1,b,3061,5100
patiencesort,100000,ascendente,D1,b,4524,6420
stdsort,100000,ascendente,D1,c,1906,4656
mergesort,100000,ascendente,D1,c,12528,5000
quicksort,100000,ascendente,D1,c,2476,5000
patiencesort,100000,ascendente,D1,c,3353,6320
stdsort,100000,ascendente,D7,a,1769,4608
mergesort,100000,ascendente,D7,a,9111,4952
quicksort,100000,ascendente,D7,a,2149,4952
patiencesort,100000,ascendente,D7,a,36326,13804
stdsort,100000,ascendente,D7,b,1475,4732
mergesort,100000,ascendente,D7,b,8075,5080
quicksort,100000,ascendente,D7,b,1784,5080
patiencesort,100000,ascendente,D7,b,40047,13932
stdsort,100000,ascendente,D7,c,1562,4740
mergesort,100000,ascendente,D7,c,10218,5092
quicksort,100000,ascendente,D7,c,1710,5092
patiencesort,100000,ascendente,D7,c,29353,13944
stdsort,100000,descendente,D1,a,1318,4764
mergesort,100000,descendente,D1,a,9332,5112
quicksort,100000,descendente,D1,a,2349,5112
patiencesort,100000,descendente,D1,a,3914,6432
stdsort,100000,descendente,D1,b,1558,4660
mergesort,100000,descendente,D1,b,11749,5004
quicksort,100000,descendente,D1,b,2618,5004
patiencesort,100000,descendente,D1,b,3478,6324
stdsort,100000,descendente,D1,c,1099,4940
mergesort,100000,descendente,D1,c,10400,5232
quicksort,100000,descendente,D1,c,2516,5232
patiencesort,100000,descendente,D1,c,3661,6552
stdsort,100000,descendente,D7,a,1268,4616
mergesort,100000,descendente,D7,a,9980,4960
quicksort,100000,descendente,D7,a,2041,4960
patiencesort,100000,descendente,D7,a,4716,6280
stdsort,100000,descendente,D7,b,1127,4604
mergesort,100000,descendente,D7,b,8826,4948
quicksort,100000,descendente,D7,b,1838,4948
patiencesort,100000,descendente,D7,b,3515,6268
stdsort,100000,descendente,D7,c,1239,4760
mergesort,100000,descendente,D7,c,12005,5108
quicksort,100000,descendente,D7,c,1682,5108
patiencesort,100000,descendente,D7,c,3384,6428
stdsort,1000,aleatorio,D1,a,88,2556
mergesort,1000,aleatorio,D1,a,134,2556
quicksort,1000,aleatorio,D1,a,74,2556
patiencesort,1000,aleatorio,D1,a,146,2556
stdsort,1000,aleatorio,D1,b,55,2556
mergesort,1000,aleatorio,D1,b,142,2556
quicksort,1000,aleatorio,D1,b,68,2556
patiencesort,1000,aleatorio,D1,b,111,2556
stdsort,1000,aleatorio,D1,c,72,2556
mergesort,1000,aleatorio,D1,c,202,2556
quicksort,1000,aleatorio,D1,c,83,2556
patiencesort,1000,aleatorio,D1,c,108,2556
stdsort,1000,aleatorio,D7,a,98,2556
mergesort,1000,aleatorio,D7,a,218,2556
quicksort,1000,aleatorio,D7,a,166,2556
patiencesort,1000,aleatorio,D7,a,291,2556
stdsort,1000,aleatorio,D7,b,97,2556
mergesort,1000,aleatorio,D7,b,163,2556
quicksort,1000,aleatorio,D7,b,154,2556
patiencesort,1000,aleatorio,D7,b,256,2556
stdsort,1000,aleatorio,D7,c,119,2556
mergesort,1000,aleatorio,D7,c,196,2556
quicksort,1000,aleatorio,D7,c,158,2556
patiencesort,1000,aleatorio,D7,c,277,2556
stdsort,1000,ascendente,D1,a,23,2556
mergesort,1000,ascendente,D1,a,111,2556
quicksort,1000,ascendente,D1,a,36,2556
patiencesort,1000,ascendente,D1,a,67,2556
stdsort,1000,ascendente,D1,b,29,2556
mergesort,1000,ascendente,D1,b,106,2556
quicksort,1000,ascendente,D1,b,39,2556
patiencesort,1000,ascendente,D1,b,79,2556
stdsort,1000,ascendente,D1,c,25,2556
mergesort,1000,ascendente,D1,c,102,2556
quicksort,1000,ascendente,D1,c,40,2556
patiencesort,1000,ascendente,D1,c,65,2556
stdsort,1000,ascendente,D7,a,23,2556
mergesort,1000,ascendente,D7,a,82,2556
quicksort,1000,ascendente,D7,a,22,2556
patiencesort,1000,ascendente,D7,a,262,3824
stdsort,1000,ascendente,D7,b,21,2556
mergesort,1000,ascendente,D7,b,99,2556
quicksort,1000,ascendente,D7,b,27,2556
patiencesort,1000,ascendente,D7,b,442,2556
stdsort,1000,ascendente,D7,c,23,2556
mergesort,1000,ascendente,D7,c,92,2556
quicksort,1000,ascendente,D7,c,28,2556
patiencesort,1000,ascendente,D7,c,316,3776
stdsort,1000,descendente,D1,a,25,2556
mergesort,1000,descendente,D1,a,138,2556
quicksort,1000,descendente,D1,a,45,2556
patiencesort,1000,descendente,D1,a,64,2556
stdsort,1000,descendente,D1,b,32,2556
mergesort,1000,descendente,D1,b,127,2556
quicksort,1000,descendente,D1,b,43,2556
patiencesort,1000,descendente,D1,b,69,2556
stdsort,1000,descendente,D1,c,19,2556
mergesort,1000,descendente,D1,c,108,2556
quicksort,1000,descendente,D1,c,39,2556
patiencesort,1000,descendente,D1,c,59,2556
stdsort,1000,descendente,D7,a,21,2556
mergesort,1000,descendente,D7,a,88,2556
quicksort,1000,descendente,D7,a,23,2556
patiencesort,1000,descendente,D7,a,57,2556
stdsort,1000,descendente,D7,b,19,2556
mergesort,1000,descendente,D7,b,93,2556
quicksort,1000,descendente,D7,b,28,2556
patiencesort,1000,descendente,D7,b,81,2556
stdsort,1000,descendente,D7,c,31,2556
mergesort,1000,descendente,D7,c,84,2556
quicksort,1000,descendente,D7,c,15,2556
patiencesort,1000,descendente,D7,c,60,2556
stdsort,10,aleatorio,D1,a,13,2556
mergesort,10,aleatorio,D1,a,4,2556
quicksort,10,aleatorio,D1,a,1,2556
patiencesort,10,aleatorio,D1,a,8,2556
stdsort,10,aleatorio,D1,b,12,2556
mergesort,10,aleatorio,D1,b,4,2556
quicksort,10,aleatorio,D1,b,1,2556
patiencesort,10,aleatorio,D1,b,7,2556
stdsort,10,aleatorio,D1,c,11,2556
mergesort,10,aleatorio,D1,c,3,2556
quicksort,10,aleatorio,D1,c,1,2556
patiencesort,10,aleatorio,D1,c,7,2556
stdsort,10,aleatorio,D7,a,13,2556
mergesort,10,aleatorio,D7,a,4,2556
quicksort,10,aleatorio,D7,a,1,2556
patiencesort,10,aleatorio,D7,a,7,2556
stdsort,10,aleatorio,D7,b,22,2556
mergesort,10,aleatorio,D7,b,3,2556
quicksort,10,aleatorio,D7,b,1,2556
patiencesort,10,aleatorio,D7,b,9,2556
stdsort,10,aleatorio,D7,c,13,2556
mergesort,10,aleatorio,D7,c,5,2556
quicksort,10,aleatorio,D7,c,0,2556
patiencesort,10,aleatorio,D7,c,8,2556
stdsort,10,ascendente,D1,a,13,2556
mergesort,10,ascendente,D1,a,3,2556
quicksort,10,ascendente,D1,a,1,2556
patiencesort,10,ascendente,D1,a,8,2556
stdsort,10,ascendente,D1,b,12,2556
mergesort,10,ascendente,D1,b,3,2556
quicksort,10,ascendente,D1,b,10,2556
patiencesort,10,ascendente,D1,b,8,2556
stdsort,10,ascendente,D1,c,12,2556
mergesort,10,ascendente,D1,c,4,2556
quicksort,10,ascendente,D1,c,1,2556
patiencesort,10,ascendente,D1,c,9,2556
stdsort,10,ascendente,D7,a,13,2556
mergesort,10,ascendente,D7,a,6,2556
quicksort,10,ascendente,D7,a,1,2556
patiencesort,10,ascendente,D7,a,22,2556
stdsort,10,ascendente,D7,b,10,2556
mergesort,10,ascendente,D7,b,4,2556
quicksort,10,ascendente,D7,b,1,2556
patiencesort,10,ascendente,D7,b,9,2556
stdsort,10,ascendente,D7,c,11,2556
mergesort,10,ascendente,D7,c,3,2556
quicksort,10,ascendente,D7,c,1,2556
patiencesort,10,ascendente,D7,c,12,2556
stdsort,10,descendente,D1,a,12,2556
mergesort,10,descendente,D1,a,4,2556
quicksort,10,descendente,D1,a,0,2556
patiencesort,10,descendente,D1,a,5,2556
stdsort,10,descendente,D1,b,9,2556
mergesort,10,descendente,D1,b,3,2556
quicksort,10,descendente,D1,b,1,2556
patiencesort,10,descendente,D1,b,5,2556
stdsort,10,descendente,D1,c,10,2556
mergesort,10,descendente,D1,c,3,2556
