algoritmo,n,t,d,m,tiempo_us,memoria_kb
naive,256,diagonal,D0,c,9287,4148
strassen,256,diagonal,D0,c,21140,5468
naive,256,diagonal,D10,a,8917,4184
strassen,256,diagonal,D10,a,20823,5580
naive,256,diagonal,D10,b,8845,4112
strassen,256,diagonal,D10,b,22427,5564
naive,256,diagonal,D10,c,7270,4128
strassen,256,diagonal,D10,c,24155,5492
naive,256,dispersa,D0,a,11891,4144
strassen,256,dispersa,D0,a,22923,5440
naive,256,dispersa,D0,b,10176,4136
strassen,256,dispersa,D0,b,22070,5460
naive,256,dispersa,D0,c,8628,4148
strassen,256,dispersa,D0,c,23235,5548
naive,256,dispersa,D10,a,10600,4124
strassen,256,dispersa,D10,a,23810,5576
naive,256,dispersa,D10,b,6748,4148
strassen,256,dispersa,D10,b,27269,5468
naive,256,dispersa,D10,c,9255,4184
strassen,256,dispersa,D10,c,23031,5460
naive,64,densa,D0,a,162,2528
strassen,64,densa,D0,a,314,2528
naive,64,densa,D0,b,231,2528
strassen,64,densa,D0,b,247,2528
naive,64,densa,D0,c,128,2528
strassen,64,densa,D0,c,310,2528
naive,64,densa,D10,a,199,2528
strassen,64,densa,D10,a,330,2528
naive,64,densa,D10,b,194,2528
strassen,64,densa,D10,b,314,2528
naive,64,densa,D10,c,101,2528
strassen,64,densa,D10,c,349,2528
naive,64,diagonal,D0,a,226,2528
strassen,64,diagonal,D0,a,373,2528
naive,64,diagonal,D0,b,163,2528
strassen,64,diagonal,D0,b,311,2528
naive,64,diagonal,D0,c,164,2528
strassen,64,diagonal,D0,c,777,2528
naive,64,diagonal,D10,a,112,2528
strassen,64,diagonal,D10,a,494,2528
naive,64,diagonal,D10,b,185,2528
strassen,64,diagonal,D10,b,391,2528
naive,64,diagonal,D10,c,235,2528
strassen,64,diagonal,D10,c,369,2528
naive,64,dispersa,D0,a,198,2528
strassen,64,dispersa,D0,a,331,2528
naive,64,dispersa,D0,b,159,2528
strassen,64,dispersa,D0,b,311,2528
naive,64,dispersa,D0,c,159,2528
strassen,64,dispersa,D0,c,313,2528
naive,64,dispersa,D10,a,161,2528
strassen,64,dispersa,D10,a,310,2528
naive,64,dispersa,D10,b,90,2528
strassen,64,dispersa,D10,b,354,2528
naive,64,dispersa,D10,c,293,2528
strassen,64,dispersa,D10,c,388,2528
