algoritmo,n,t,d,m,tiempo_us,memoria_kb
strassen,1024,densa,D0,b,679579,39800
naive,1024,densa,D0,c,866259,15820
strassen,1024,densa,D0,c,679138,39840
naive,1024,densa,D10,a,858594,15884
strassen,1024,densa,D10,a,632842,39904
naive,1024,densa,D10,b,879371,15752
strassen,1024,densa,D10,b,689486,39772
naive,1024,densa,D10,c,933475,15896
strassen,1024,densa,D10,c,674578,39916
naive,1024,diagonal,D0,a,941964,15896
strassen,1024,diagonal,D0,a,657196,39916
naive,1024,diagonal,D0,b,844798,15780
strassen,1024,diagonal,D0,b,685320,39800
naive,1024,diagonal,D0,c,952614,15756
strassen,1024,diagonal,D0,c,1062045,39776
naive,1024,diagonal,D10,a,1222380,15884
strassen,1024,diagonal,D10,a,673435,39904
naive,1024,diagonal,D10,b,1235168,15820
strassen,1024,diagonal,D10,b,686430,39840
naive,1024,diagonal,D10,c,1288121,15772
strassen,1024,diagonal,D10,c,814618,39792
naive,1024,dispersa,D0,a,876458,15744
strassen,1024,dispersa,D0,a,660108,39764
naive,1024,dispersa,D0,b,971349,15772
strassen,1024,dispersa,D0,b,780269,39792
naive,1024,dispersa,D0,c,871769,15856
strassen,1024,dispersa,D0,c,676703,39876
naive,1024,dispersa,D10,a,921097,16004
strassen,1024,dispersa,D10,a,656664,40024
naive,1024,dispersa,D10,b,817510,15828
strassen,1024,dispersa,D10,b,669409,39848
naive,1024,dispersa,D10,c,799731,15740
strassen,1024,dispersa,D10,c,631833,39760
naive,16,densa,D0,a,4,2520
strassen,16,densa,D0,a,29,2520
naive,16,densa,D0,b,14,2520
strassen,16,densa,D0,b,12,2520
naive,16,densa,D0,c,5,2520
strassen,16,densa,D0,c,48,2520
naive,16,densa,D10,a,6,2520
strassen,16,densa,D10,a,65,2520
naive,16,densa,D10,b,32,2520
strassen,16,densa,D10,b,27,2520
naive,16,densa,D10,c,18,2520
strassen,16,densa,D10,c,29,2520
naive,16,diagonal,D0,a,8,2520
strassen,16,diagonal,D0,a,27,2520
naive,16,diagonal,D0,b,32,2520
strassen,16,diagonal,D0,b,44,2520
naive,16,diagonal,D0,c,6,2520
strassen,16,diagonal,D0,c,16,2520
naive,16,diagonal,D10,a,33,2520
strassen,16,diagonal,D10,a,30,2520
